iter	Passed	Remaining
0	72	36380
1	200	50028
2	271	44974
3	346	43011
4	439	43546
5	514	42368
6	583	41115
7	670	41207
8	744	40641
9	832	40807
10	906	40283
11	981	39913
12	1053	39478
13	1124	39036
14	1202	38879
15	1269	38401
16	1351	38395
17	1428	38257
18	1501	38001
19	1629	39112
20	1730	39471
21	1805	39219
22	1869	38768
23	1942	38519
24	2014	38269
25	2084	37999
26	2154	37736
27	2225	37510
28	2295	37276
29	2370	37139
30	2448	37046
31	2519	36845
32	2588	36626
33	2655	36390
34	2735	36339
35	2803	36135
36	2864	35847
37	2936	35698
38	3011	35591
39	3070	35308
40	3133	35079
41	3211	35025
42	3280	34869
43	3341	34631
44	3412	34507
45	3480	34347
46	3546	34183
47	3605	33954
48	3662	33712
49	3719	33475
50	3774	33232
51	3838	33066
52	3920	33067
53	3983	32900
54	4068	32914
55	4139	32818
56	4204	32680
57	4267	32522
58	4322	32309
59	4381	32130
60	4438	31939
61	4499	31787
62	4567	31684
63	4623	31494
64	4687	31372
65	4750	31239
66	4822	31165
67	4893	31085
68	4969	31043
69	5054	31051
70	5116	30912
71	5171	30740
72	5243	30670
73	5304	30535
74	5375	30461
75	5450	30407
76	5526	30360
77	5609	30350
78	5691	30331
79	5770	30294
80	5845	30239
81	5911	30135
82	5980	30045
83	6049	29959
84	6128	29920
85	6203	29863
86	6288	29854
87	6361	29781
88	6426	29675
89	6505	29634
90	6592	29629
91	6648	29485
92	6709	29363
93	6765	29220
94	6818	29067
95	6872	28923
96	6927	28781
97	6976	28618
98	7060	28597
99	7116	28466
100	7170	28327
101	7230	28213
102	7286	28084
103	7369	28059
104	7437	27977
105	7488	27833
106	7717	28344
107	7863	28540
108	8008	28726
109	8149	28892
110	8240	28878
111	8320	28822
112	8382	28708
113	8446	28600
114	8506	28479
115	8567	28361
116	8638	28277
117	8717	28221
118	8776	28100
119	8837	27986
120	8894	27858
121	8950	27732
122	9022	27655
123	9085	27550
124	9149	27449
125	9233	27408
126	9378	27546
127	9436	27425
128	9500	27323
129	9573	27247
130	9632	27133
131	9691	27018
132	9755	26919
133	9815	26810
134	9872	26692
135	9927	26570
136	9982	26450
137	10042	26344
138	10112	26263
139	10160	26127
140	10222	26028
141	10273	25901
142	10328	25784
143	10382	25667
144	10433	25544
145	10506	25474
146	10618	25499
147	10706	25463
148	10785	25407
149	10859	25338
150	10911	25218
151	10962	25098
152	11023	25000
153	11103	24947
154	11167	24855
155	11230	24763
156	11294	24675
157	11351	24570
158	11410	24470
159	11455	24342
160	11494	24202
161	11558	24115
162	11610	24003
163	11657	23883
164	11714	23784
165	11774	23691
166	11833	23596
167	11894	23506
168	11941	23388
169	11987	23270
170	12049	23182
171	12106	23086
172	12152	22970
173	12212	22881
174	12268	22784
175	12323	22687
176	12379	22590
177	12427	22481
178	12484	22387
179	12544	22302
180	12619	22240
181	12680	22156
182	12744	22077
183	12800	21982
184	12854	21887
185	12905	21787
186	12963	21699
187	13023	21613
188	13071	21508
189	13139	21438
190	13218	21384
191	13276	21297
192	13324	21195
193	13379	21103
194	13450	21038
195	13505	20947
196	13564	20862
197	13610	20759
198	13671	20679
199	13731	20597
200	13782	20502
201	13833	20408
202	13890	20322
203	13950	20241
204	14001	20148
205	14063	20071
206	14120	19987
207	14167	19888
208	14217	19796
209	14275	19713
210	14339	19640
211	14416	19584
212	14485	19517
213	14547	19441
214	14609	19366
215	14778	19430
216	14904	19437
217	14950	19340
218	14999	19245
219	15053	19158
220	15108	19074
221	15167	18994
222	15220	18905
223	15277	18824
224	15336	18744
225	15394	18664
226	15475	18611
227	15534	18532
228	15587	18446
229	15644	18364
230	15699	18282
231	15752	18197
232	15794	18098
233	15842	18008
234	15902	17932
235	15955	17848
236	16012	17769
237	16095	17718
238	16234	17728
239	16303	17662
240	16358	17579
241	16410	17495
242	16464	17412
243	16516	17328
244	16603	17281
245	16717	17261
246	16787	17195
247	16856	17128
248	16906	17042
249	16965	16965
250	17017	16881
251	17071	16800
252	17130	16724
253	17199	16657
254	17254	16578
255	17303	16492
256	17360	16415
257	17415	16335
258	17471	16256
259	17524	16176
260	17582	16100
261	17641	16025
262	17689	15940
263	17742	15860
264	17787	15773
265	17843	15697
266	17955	15668
267	18053	15628
268	18112	15553
269	18168	15476
270	18222	15398
271	18277	15321
272	18334	15245
273	18388	15167
274	18448	15094
275	18504	15018
276	18558	14940
277	18617	14867
278	18669	14788
279	18718	14707
280	18772	14630
