iter	Passed	Remaining
0	219	65631
1	328	48971
2	445	44093
3	582	43072
4	719	42427
5	819	40143
6	930	38950
7	1046	38202
8	1179	38144
9	1290	37438
10	1408	37014
11	1527	36670
12	1617	35703
13	1740	35547
14	1879	35719
15	1994	35406
16	2095	34878
17	2244	35161
18	2306	34114
19	2476	34677
20	2610	34688
21	2733	34540
22	2832	34112
23	2953	33961
24	3094	34044
25	3204	33772
26	3335	33725
27	3467	33685
28	3653	34138
29	3778	34009
30	3946	34244
31	4104	34371
32	4232	34246
33	4362	34126
34	4404	33349
35	4524	33178
36	4631	32918
37	4737	32665
38	4853	32478
39	4950	32177
40	5057	31951
41	5175	31791
42	5291	31628
43	5400	31419
44	5505	31197
45	5616	31013
46	5726	30825
47	5845	30690
48	5955	30504
49	6074	30370
50	6200	30275
51	6319	30137
52	6428	29960
53	6535	29774
54	6632	29544
55	6749	29406
56	6855	29224
57	6958	29032
58	7067	28870
59	7187	28749
60	7289	28561
61	7398	28400
62	7507	28243
63	7610	28064
64	7734	27961
65	7837	27786
66	7939	27609
67	8049	27464
68	8153	27296
69	8247	27099
70	8367	26989
71	8480	26855
72	8582	26686
73	8689	26537
74	8781	26344
75	8891	26207
76	8998	26060
77	9119	25955
78	9232	25827
79	9349	25710
80	9459	25575
81	9551	25393
82	9677	25300
83	9745	25058
84	9864	24952
85	9950	24761
86	10044	24591
87	10141	24432
88	10243	24286
89	10356	24164
90	10450	24002
91	10567	23892
92	10664	23736
93	10766	23594
94	10888	23496
95	11127	23646
96	11253	23550
97	11380	23457
98	11498	23344
99	11612	23224
100	11779	23208
101	11924	23146
102	12045	23037
103	12158	22913
104	12289	22824
105	12394	22684
106	12507	22559
107	12621	22437
108	12734	22314
109	12842	22181
110	12948	22048
111	13065	21930
112	13173	21800
113	13281	21670
114	13397	21551
115	13500	21415
116	13609	21285
117	13709	21145
118	13818	21018
119	13929	20894
120	14066	20809
121	14172	20677
122	14302	20582
123	14416	20462
124	14517	20325
125	14618	20187
126	14725	20059
127	14841	19943
128	14951	19819
129	15067	19704
130	15186	19591
131	15289	19459
132	15393	19329
133	15497	19198
134	15610	19079
135	15721	18958
136	15838	18844
137	15953	18727
138	16069	18612
139	16169	18479
140	16271	18348
141	16385	18231
142	16498	18113
143	16603	17986
144	16708	17860
145	16823	17745
146	16935	17626
147	17032	17492
148	17149	17379
149	17267	17267
150	17374	17143
151	17489	17028
152	17602	16911
153	17710	16790
154	17819	16670
155	17930	16550
156	18051	16442
157	18152	16313
158	18265	16198
159	18377	16080
160	18498	15970
161	18606	15849
162	18716	15731
163	18820	15607
164	18945	15501
165	19059	15385
166	19173	15269
167	19284	15152
168	19400	15038
169	19512	14921
170	19616	14798
171	19708	14666
172	19825	14553
173	19939	14439
174	20055	14325
175	20166	14208
176	20288	14098
177	20393	13977
178	20510	13864
179	20614	13742
180	20728	13628
181	20857	13523
182	20964	13403
183	21072	13284
184	21194	13175
185	21305	13058
186	21421	12944
187	21528	12825
188	21642	12710
189	21776	12607
190	21892	12493
191	21976	12361
192	22068	12234
193	22188	12123
194	22295	12005
195	22403	11887
196	22506	11767
197	22613	11649
198	22710	11526
199	22815	11407
200	22926	11291
201	23039	11177
202	23147	11060
203	23264	10948
204	23389	10839
205	23489	10718
206	23596	10601
207	23704	10484
208	23817	10370
209	23921	10251
210	24041	10140
211	24141	10020
212	24258	9908
213	24366	9792
214	24469	9674
215	24575	9557
216	24681	9440
217	24768	9316
218	24883	9203
219	25001	9091
220	25123	8980
221	25225	8863
222	25341	8750
223	25435	8629
224	25541	8513
225	25648	8398
226	25729	8274
227	25832	8157
228	25932	8040
229	26040	7925
230	26138	7807
231	26257	7696
232	26361	7580
233	26457	7462
234	26562	7346
235	26671	7232
236	26779	7118
237	26888	7004
238	27009	6893
239	27113	6778
240	27217	6663
241	27311	6545
242	27419	6431
243	27529	6318
244	27637	6204
245	27755	6092
246	27864	5978
247	27978	5866
248	28092	5753
249	28212	5642
250	28320	5528
251	28415	5412
252	28527	5299
253	28625	5184
254	28740	5071
255	28851	4958
256	28966	4846
257	29066	4731
258	29185	4620
259	29296	4507
260	29399	4392
261	29509	4279
262	29631	4168
263	29733	4054
264	29828	3939
265	29929	3825
266	30046	3713
267	30156	3600
268	30265	3487
269	30382	3375
270	30483	3262
271	30583	3148
272	30697	3035
273	30801	2922
274	30918	2810
275	31034	2698
276	31140	2585
277	31247	2472
278	31357	2360
279	31465	2247
280	31580	2135
281	31702	2023
282	31820	1911
283	31931	1798
284	32033	1685
285	32144	1573
286	32280	1462
287	32402	1350
288	32542	1238
289	32654	1126
290	32776	1013
291	32885	900
292	33004	788
293	33114	675
294	33248	563
295	33371	450
296	33504	338
297	33611	225
298	33752	112
299	33869	0
